sample	cg01962233	cg10191725	cg21729122	cg18000886	cg14514403	cg16507965	cg08769559	cg18102233	cg17036062	cg16414561	cg25053900	cg13806616	cg25545920	cg22437699	cg12419462	cg03038395	cg03971469	cg02651788	cg08209743	cg16954455	cg06943593	cg22820312	cg25745795	cg02022247	cg16890879	cg15854666	cg11863130	cg19011478	cg12705969	cg10709771	cg23221557	cg23238793	cg18757172	cg24728008	cg03450733	cg14831665	cg05242815	cg02938958	cg04118889	cg24825446	cg02082650	cg11158236
TCGA-AA-3712-01A	0.2297	0.759	0.1572	0.06879	0.02293	0.03137	0.0287	0.02442	0.01509	0.0291	0.04394	0.1308	0.2402	0.7568	0.01656	0.04317	0.02234	0.02509	0.03676	0.06423	0.04444	0.02872	0.1219	0.04266	0.06632	0.07125	0.1308	0.7299	0.3619	0.1948	0.08014	0.2861	0.05544	0.0499	0.2164	0.1083	0.01955	0.0144	0.07309	0.05622	0.1537	0.8463
TCGA-AA-3952-01A																																										
TCGA-AA-3527-01A																																										
TCGA-AD-A5EJ-01A	0.6544	0.8236	0.5804	0.6434	0.604	0.4436	0.3426	0.3523	0.5877	0.7477	0.6511	0.5129	0.6644	0.6539	0.5146	0.526	0.3037	0.4404	0.2392	0.6443	0.5985	0.6503	0.6742	0.6481	0.8372	0.7587	0.8593	0.7236	0.6963	0.8047	0.412	0.5217	0.5983	0.4826	0.8331	0.8655	0.626	0.626	0.6865	0.5272	0.4862	0.6153
TCGA-G4-6299-01A	0.6466	0.7632	0.6362	0.6013	0.5759	0.3808	0.3891	0.3847	0.6615	0.6156	0.6137	0.5404	0.767	0.7645	0.01398	0.07007	0.02389	0.03229	0.05497	0.4922	0.4706	0.4154	0.7021	0.6088	0.6982	0.7065	0.8578	0.6216	0.6326	0.7171	0.1692	0.2714	0.1326	0.09912	0.797	0.7468	0.532	0.3408	0.5261	0.4393	0.3404	0.6885
TCGA-AA-3680-01A																																										
TCGA-AA-A03F-01A																																										
TCGA-AA-A01G-01A																																										
TCGA-AA-3531-01A																																										
TCGA-AA-3520-01A																																										
TCGA-AA-A01D-01A																																										
TCGA-5M-AATA-01A	0.543	0.6789	0.4531	0.4794	0.4123	0.02783	0.03637	0.02917	0.04807	0.5197	0.4202	0.3084	0.6929	0.7606	0.01578	0.06431	0.02063	0.01929	0.04617	0.4335	0.3934	0.1954	0.6623	0.2772	0.05577	0.06324	0.1938	0.6038	0.4476	0.3519	0.03859	0.3386	0.04918	0.06376	0.6524	0.3989	0.03373	0.01788	0.06303	0.07494	0.1659	0.6224
TCGA-CM-4751-01A	0.5356	0.7468	0.4352	0.4747	0.4053	0.3983	0.3237	0.3574	0.4517	0.4844	0.4734	0.4517	0.385	0.6939	0.5449	0.524	0.2871	0.525	0.1195	0.5207	0.4656	0.3558	0.613	0.1007	0.6858	0.06879	0.698	0.596	0.5911	0.3122	0.4777	0.4813	0.6563	0.1411	0.7915	0.6787	0.4889	0.433	0.4715	0.274	0.6437	0.8493
TCGA-AD-5900-01A	0.5484	0.7326	0.5102	0.5453	0.41	0.3886	0.3398	0.3517	0.5056	0.6174	0.568	0.6109	0.8223	0.5586	0.03518	0.05599	0.02905	0.04087	0.2007	0.5097	0.4332	0.4331	0.7341	0.5985	0.7022	0.7319	0.797	0.6175	0.6028	0.7023	0.4667	0.2625	0.09249	0.08777	0.6684	0.759	0.4904	0.3731	0.567	0.5033	0.5746	0.8546
TCGA-G4-6295-01A	0.5105	0.4675	0.2605	0.1897	0.1098	0.1194	0.1061	0.05138	0.4088	0.1542	0.1842	0.3156	0.5779	0.3715	0.2885	0.4776	0.03627	0.2328	0.1232	0.3401	0.2321	0.2322	0.3041	0.1915	0.3028	0.1447	0.3959	0.1975	0.4566	0.2627	0.2181	0.4163	0.1982	0.3313	0.8399	0.3751	0.2302	0.1312	0.2234	0.198	0.3719	0.5546
TCGA-AZ-4615-01A	0.3568	0.8048	0.703	0.6936	0.4903	0.4611	0.3101	0.4142	0.7131	0.6959	0.7306	0.4942	0.7499	0.819	0.01892	0.1201	0.03209	0.06611	0.4311	0.459	0.47	0.4664	0.7557	0.588	0.7417	0.6898	0.7875	0.7393	0.4612	0.7355	0.418	0.5093	0.461	0.2359	0.7107	0.7276	0.4947	0.3277	0.5106	0.4646	0.443	0.8032
TCGA-F4-6808-01A	0.5428	0.7115	0.3598	0.3229	0.1685	0.3141	0.1895	0.2487	0.4603	0.3198	0.3179	0.37	0.4363	0.5734	0.4675	0.4878	0.1931	0.3802	0.1013	0.5334	0.3286	0.3548	0.7903	0.2172	0.5428	0.06433	0.4889	0.2774	0.5385	0.3813	0.1931	0.5196	0.472	0.3791	0.7612	0.7102	0.4243	0.3033	0.2992	0.1492	0.3664	0.4266
TCGA-AA-3660-01A	0.7132	0.8799	0.5032	0.5752	0.3349	0.3223	0.3135	0.2061	0.5381	0.3755	0.4099	0.4153	0.6981	0.7869	0.4375	0.4921	0.136	0.4431	0.2805	0.5215	0.5361	0.6431	0.8304	0.4494	0.944	0.602	0.8537	0.761	0.7465	0.7952	0.2875	0.4678	0.4633	0.478	0.9086	0.9138	0.6384	0.5438	0.705	0.5577	0.8515	0.8664
TCGA-AZ-4616-01A	0.5399	0.7936	0.5765	0.5658	0.5186	0.4541	0.3604	0.397	0.6988	0.6777	0.5822	0.5346	0.5858	0.6539	0.4542	0.512	0.2349	0.392	0.2355	0.571	0.5617	0.5745	0.7189	0.4784	0.77	0.4612	0.7989	0.6053	0.7951	0.7111	0.3561	0.4756	0.418	0.4666	0.8443	0.69	0.4252	0.3835	0.5124	0.4276	0.7983	0.8887
TCGA-D5-6539-01A	0.4659	0.6313	0.4531	0.4121	0.2002	0.2227	0.2227	0.1657	0.4839	0.3098	0.3783	0.3805	0.5634	0.5598	0.3618	0.4744	0.06102	0.3442	0.1744	0.4783	0.3367	0.384	0.5164	0.3343	0.6078	0.3075	0.6891	0.4722	0.6579	0.5548	0.4236	0.4539	0.3694	0.4071	0.7225	0.5294	0.3601	0.2213	0.283	0.251	0.4284	0.6633
TCGA-G4-6317-01A	0.6022	0.8591	0.4677	0.5301	0.4762	0.421	0.3038	0.3592	0.542	0.5134	0.5048	0.4165	0.4566	0.6908	0.5183	0.4929	0.2378	0.5011	0.1146	0.4985	0.4874	0.4758	0.7725	0.2877	0.8863	0.4394	0.7182	0.4309	0.8984	0.3133	0.4224	0.5311	0.5705	0.5536	0.9293	0.6887	0.4663	0.3782	0.4085	0.3923	0.5814	0.7778
TCGA-4T-AA8H-01A	0.5517	0.8341	0.3307	0.7158	0.7556	0.5202	0.4031	0.6343	0.8051	0.7901	0.5855	0.6171	0.5118	0.7151	0.4084	0.3848	0.187	0.3345	0.1668	0.4693	0.4842	0.2892	0.4159	0.1103	0.5308	0.2743	0.5524	0.3599	0.2872	0.2346	0.4643	0.5245	0.4098	0.4036	0.8693	0.8542	0.4389	0.4367	0.4368	0.3419	0.4728	0.694
TCGA-DM-A285-01A	0.4845	0.665	0.4251	0.5072	0.4142	0.2713	0.2786	0.3493	0.5898	0.4319	0.4473	0.4537	0.4497	0.4703	0.4728	0.5733	0.1847	0.4091	0.2898	0.5266	0.4473	0.3672	0.6015	0.3612	0.6749	0.3362	0.6533	0.4547	0.6423	0.3828	0.4041	0.5134	0.5422	0.4443	0.7148	0.6563	0.4759	0.421	0.5296	0.377	0.6639	0.7569
TCGA-AY-6197-01A	0.7503	0.8405	0.7895	0.7169	0.4373	0.1169	0.1589	0.07371	0.6626	0.7464	0.6238	0.6463	0.7443	0.7946	0.01682	0.06371	0.02222	0.02604	0.5136	0.6233	0.5808	0.6295	0.8698	0.1765	0.5319	0.2262	0.796	0.3553	0.3727	0.8419	0.4881	0.178	0.1146	0.03786	0.8007	0.8268	0.6006	0.4285	0.7533	0.6082	0.7305	0.8099
TCGA-AA-3506-01A	0.6009	0.8068	0.2295	0.6898	0.2402	0.05127	0.03644	0.02672	0.03406	0.1284	0.2543	0.3674	0.4901	0.659	0.01738	0.05673	0.02102	0.02752	0.05893	0.5911	0.5651	0.5699	0.7036	0.217	0.8641	0.3111	0.6051	0.5144	0.6229	0.6644	0.04584	0.3413	0.06453	0.04807	0.1287	0.03924	0.02772	0.01725	0.04004	0.08874	0.3655	0.7593
TCGA-AA-3949-01A																																										
TCGA-DM-A28F-01A	0.7186	0.6039	0.1602	0.1357	0.02818	0.0306	0.03558	0.01867	0.02003	0.0256	0.03708	0.1552	0.1918	0.4723	0.01175	0.03792	0.01716	0.02524	0.04778	0.06694	0.2205	0.3901	0.5185	0.06751	0.03884	0.2853	0.1359	0.4573	0.8668	0.4589	0.06133	0.2873	0.05097	0.05749	0.7161	0.344	0.02562	0.01476	0.07547	0.1335	0.08993	0.475
TCGA-CA-6717-01A	0.5768	0.6429	0.5061	0.4995	0.3817	0.2858	0.2188	0.1801	0.5285	0.452	0.4662	0.4728	0.6474	0.7057	0.01793	0.06775	0.02161	0.03158	0.219	0.4289	0.4026	0.3562	0.6527	0.4051	0.5417	0.5343	0.6653	0.4145	0.5592	0.5707	0.3516	0.406	0.1122	0.08282	0.7809	0.4966	0.3868	0.3058	0.4049	0.3023	0.6957	0.8253
TCGA-DM-A28A-01A	0.8186	0.8758	0.7611	0.0524	0.01803	0.03007	0.03305	0.03004	0.01797	0.3403	0.3055	0.6226	0.8877	0.842	0.0145	0.04861	0.02029	0.02757	0.4335	0.6998	0.6673	0.7131	0.9063	0.7593	0.9532	0.7459	0.67	0.843	0.7054	0.9227	0.1055	0.3281	0.04749	0.05125	0.9046	0.11	0.03674	0.0137	0.05843	0.3325	0.7647	0.8527
TCGA-QG-A5YW-01A	0.3613	0.8388	0.2286	0.5353	0.5104	0.3595	0.2361	0.4303	0.5974	0.5511	0.4813	0.496	0.386	0.471	0.5419	0.4952	0.3583	0.4778	0.09723	0.5392	0.516	0.4105	0.4616	0.3779	0.9176	0.5647	0.699	0.7321	0.8379	0.665	0.4487	0.5841	0.6193	0.5588	0.8323	0.9344	0.6347	0.6699	0.7454	0.5493	0.5605	0.8627
TCGA-AA-3524-01A																																										
TCGA-AZ-6606-01A	0.5597	0.8607	0.7736	0.7057	0.7151	0.5544	0.5472	0.5689	0.78	0.7699	0.7813	0.6817	0.8136	0.8835	0.01752	0.08002	0.02753	0.07616	0.6712	0.6051	0.5826	0.642	0.8943	0.7147	0.8662	0.6005	0.7586	0.8058	0.6749	0.8253	0.7456	0.709	0.8592	0.7709	0.8878	0.9116	0.5895	0.307	0.6283	0.3025	0.7028	0.8391
TCGA-AA-3989-01A																																										
TCGA-AA-3488-01A	0.8501	0.6035	0.3898	0.03903	0.03156	0.07207	0.04061	0.02236	0.01651	0.05343	0.2	0.1235	0.7747	0.8247	0.0116	0.07918	0.02349	0.02724	0.04544	0.04212	0.1378	0.419	0.538	0.04526	0.04494	0.06955	0.1021	0.07742	0.5013	0.3731	0.04649	0.3462	0.05748	0.04983	0.8967	0.529	0.02208	0.01302	0.03907	0.04976	0.1134	0.4652
TCGA-AA-3855-01A																																										
TCGA-CM-4748-01A	0.7133	0.7828	0.5736	0.7213	0.5943	0.1459	0.05155	0.07164	0.3567	0.5315	0.4773	0.5068	0.6838	0.7439	0.01538	0.08002	0.02588	0.03046	0.04445	0.3938	0.266	0.2932	0.6773	0.2529	0.7584	0.1407	0.5378	0.7275	0.5428	0.7623	0.1899	0.3229	0.07235	0.05607	0.5305	0.04585	0.05577	0.03074	0.1015	0.1797	0.3433	0.8254
TCGA-F4-6807-01A	0.6133	0.8001	0.441	0.5323	0.5033	0.3615	0.2824	0.436	0.6117	0.6678	0.5672	0.5181	0.5134	0.6549	0.5696	0.5901	0.3699	0.4749	0.2255	0.5778	0.5369	0.5469	0.6464	0.5517	0.8316	0.4361	0.8284	0.6688	0.7868	0.4187	0.3893	0.5523	0.6191	0.5825	0.7298	0.8299	0.5322	0.4644	0.5181	0.4079	0.6815	0.868
TCGA-AA-3534-01A																																										
TCGA-F4-6704-01A	0.6982	0.739	0.31	0.1946	0.0295	0.03753	0.04461	0.02969	0.03323	0.04221	0.0914	0.2195	0.6607	0.7618	0.01507	0.06471	0.02486	0.03642	0.04686	0.1325	0.08112	0.187	0.4637	0.2051	0.07386	0.1447	0.4196	0.3398	0.3528	0.3067	0.1959	0.3316	0.08275	0.09864	0.6695	0.03357	0.02639	0.01684	0.1136	0.1817	0.2284	0.2803
TCGA-AA-3869-01A																																										
TCGA-D5-6538-01A	0.8416	0.9125	0.6238	0.9371	0.9498	0.7344	0.4135	0.7607	0.9215	0.8514	0.5974	0.754	0.8464	0.8327	0.3957	0.3772	0.06741	0.3102	0.6856	0.7772	0.6412	0.814	0.9219	0.5679	0.9702	0.5317	0.7619	0.8043	0.7968	0.5266	0.8077	0.6768	0.4865	0.5189	0.9148	0.9644	0.7491	0.7785	0.8888	0.8122	0.8001	0.8584
TCGA-AA-A01T-01A																																										
TCGA-DM-A1DA-01A	0.7288	0.9152	0.1421	0.7201	0.4057	0.423	0.3506	0.2447	0.5544	0.5339	0.4776	0.6946	0.4971	0.7767	0.473	0.4556	0.2172	0.4295	0.4753	0.8081	0.7374	0.8453	0.9251	0.6782	0.984	0.543	0.7563	0.9079	0.8703	0.8964	0.4144	0.5339	0.5447	0.4799	0.9289	0.9699	0.7902	0.8218	0.9093	0.6955	0.426	0.5338
TCGA-CA-5256-01A	0.4848	0.7225	0.379	0.5675	0.3378	0.4162	0.3137	0.3494	0.4934	0.3288	0.4441	0.5098	0.4757	0.5842	0.4515	0.4779	0.2323	0.4407	0.07714	0.4844	0.4473	0.56	0.8174	0.3482	0.9451	0.3366	0.6409	0.6969	0.7935	0.3888	0.3745	0.5243	0.5515	0.4598	0.8818	0.9363	0.4741	0.3565	0.4153	0.358	0.3727	0.6146
TCGA-AA-3986-01A																																										
TCGA-AA-3543-01A																																										
TCGA-AA-A01S-01A																																										
TCGA-CM-6168-01A	0.4967	0.7083	0.3599	0.4462	0.3705	0.3177	0.2779	0.2993	0.5848	0.5069	0.4553	0.4398	0.5235	0.5431	0.4968	0.5627	0.2379	0.4132	0.1471	0.5359	0.4653	0.464	0.5034	0.3538	0.7065	0.2618	0.7369	0.4176	0.7031	0.7498	0.3302	0.5162	0.5019	0.4745	0.7439	0.7612	0.5163	0.4548	0.5463	0.4032	0.6683	0.7728
TCGA-A6-6780-01A	0.7197	0.7898	0.5418	0.1048	0.03598	0.02606	0.03145	0.02887	0.02609	0.7303	0.6411	0.5768	0.4142	0.7227	0.01613	0.06375	0.02498	0.03239	0.09854	0.6097	0.5705	0.5772	0.8338	0.2823	0.232	0.7425	0.8297	0.7372	0.7442	0.8187	0.1141	0.3124	0.06854	0.06023	0.8654	0.5326	0.1248	0.03505	0.5969	0.2144	0.6618	0.8714
TCGA-CA-5254-01A	0.7141	0.8079	0.2716	0.1325	0.08399	0.106	0.1027	0.03984	0.3372	0.09871	0.1629	0.3326	0.5396	0.7702	0.224	0.4461	0.03398	0.15	0.07659	0.499	0.3466	0.2203	0.8305	0.6244	0.874	0.6275	0.9184	0.7762	0.7042	0.6595	0.1465	0.3039	0.1129	0.2421	0.9334	0.9104	0.6092	0.6065	0.8218	0.3303	0.2154	0.2555
TCGA-CK-5914-01A	0.8006	0.8737	0.5034	0.0339	0.01973	0.02391	0.03151	0.01863	0.02045	0.03172	0.04042	0.1109	0.7981	0.7164	0.01451	0.04199	0.02334	0.03261	0.03965	0.07017	0.1805	0.07622	0.862	0.4327	0.5613	0.073	0.07456	0.78	0.8243	0.2221	0.04141	0.1908	0.03685	0.04554	0.8922	0.8093	0.01946	0.01485	0.05559	0.08063	0.325	0.6738
TCGA-AA-3554-01A																																										
TCGA-AA-3696-01A																																										
TCGA-CM-5863-01A	0.4623	0.6183	0.4151	0.4773	0.3333	0.3195	0.2301	0.2112	0.5129	0.4338	0.4089	0.3965	0.4289	0.5573	0.4655	0.4871	0.1758	0.3727	0.1886	0.4866	0.4581	0.4096	0.63	0.2769	0.5779	0.3888	0.6237	0.3199	0.4882	0.5083	0.3705	0.511	0.4389	0.471	0.6186	0.5936	0.4651	0.3973	0.4419	0.2936	0.4103	0.5697
TCGA-D5-6931-01A	0.5463	0.6581	0.4256	0.1188	0.04652	0.02411	0.0348	0.03856	0.04214	0.2233	0.4159	0.481	0.485	0.6809	0.01991	0.05473	0.03489	0.1048	0.1518	0.5102	0.3514	0.3929	0.6482	0.2354	0.5582	0.3424	0.7808	0.5553	0.6614	0.6769	0.09601	0.3456	0.1356	0.07846	0.4248	0.06059	0.03922	0.02455	0.1099	0.1245	0.1864	0.5967
TCGA-AY-A71X-01A	0.8033	0.9115	0.7797	0.6738	0.5746	0.4566	0.3654	0.3904	0.5902	0.7549	0.6275	0.677	0.7083	0.7887	0.5136	0.4953	0.2129	0.5019	0.2229	0.5706	0.5491	0.4611	0.6438	0.2959	0.6533	0.4245	0.7028	0.6725	0.6478	0.481	0.8384	0.7749	0.9211	0.7309	0.9299	0.7303	0.4739	0.4019	0.3973	0.209	0.4008	0.1588
TCGA-DM-A28G-01A	0.718	0.8191	0.6466	0.708	0.632	0.04983	0.04871	0.02428	0.1991	0.1322	0.2235	0.4539	0.6409	0.7289	0.0139	0.04048	0.03246	0.02817	0.0722	0.3005	0.259	0.05554	0.7963	0.1745	0.3834	0.0802	0.1457	0.6461	0.4206	0.3006	0.05366	0.3259	0.04253	0.06698	0.8411	0.07445	0.03199	0.02023	0.0888	0.1171	0.2696	0.6518
TCGA-A6-6649-01A	0.5482	0.7357	0.5906	0.5024	0.4483	0.4443	0.4757	0.3459	0.6172	0.5424	0.5371	0.5955	0.7275	0.7777	0.01205	0.0427	0.02322	0.03039	0.05605	0.08966	0.03255	0.06719	0.4433	0.08301	0.3478	0.08643	0.2662	0.5008	0.4302	0.6893	0.1377	0.3474	0.05979	0.08103	0.8126	0.6955	0.4518	0.3654	0.5171	0.4217	0.5084	0.7638
TCGA-F4-6569-01A	0.6036	0.7062	0.5524	0.3146	0.4792	0.09533	0.04163	0.02834	0.04127	0.1611	0.3062	0.4917	0.6808	0.7322	0.01762	0.05214	0.02193	0.0356	0.06593	0.4501	0.41	0.3692	0.7455	0.3922	0.6285	0.4473	0.7115	0.5552	0.6962	0.5594	0.3982	0.5081	0.6439	0.3841	0.7214	0.6091	0.438	0.193	0.3921	0.3888	0.6763	0.8975
TCGA-AA-3663-01A	0.7532	0.8343	0.6763	0.7277	0.4679	0.07424	0.06547	0.0394	0.09603	0.107	0.2573	0.6738	0.8092	0.8273	0.01237	0.05831	0.02424	0.03083	0.5362	0.5889	0.4664	0.6146	0.8816	0.219	0.85	0.07542	0.8962	0.774	0.7476	0.8359	0.6686	0.6233	0.8794	0.2771	0.9265	0.8307	0.3514	0.4678	0.6579	0.5686	0.2846	0.4985
TCGA-AA-3526-01A																																										
TCGA-F4-6856-01A	0.6703	0.7342	0.3726	0.326	0.09222	0.1026	0.0452	0.0378	0.05374	0.07225	0.09325	0.4951	0.6328	0.7163	0.02123	0.06777	0.03491	0.03268	0.208	0.5117	0.4944	0.472	0.759	0.5748	0.6768	0.7405	0.8363	0.2919	0.597	0.5761	0.3159	0.3354	0.09244	0.06201	0.6783	0.05327	0.02916	0.05639	0.07967	0.2683	0.3286	0.7498
TCGA-AA-A00A-01A																																										
TCGA-AA-A010-01A																																										
TCGA-A6-5661-01B	0.6997	0.8948	0.7029	0.7699	0.6911	0.5477	0.4788	0.7091	0.7703	0.7752	0.7944	0.5943	0.7244	0.6456	0.5229	0.3491	0.1009	0.4732	0.6778	0.6796	0.5638	0.5939	0.7585	0.5725	0.8753	0.7988	0.8638	0.7592	0.7614	0.6037	0.6314	0.6576	0.7619	0.6466	0.8926	0.899	0.6061	0.6256	0.8433	0.5937	0.8517	0.8658
TCGA-AA-3851-01A																																										
TCGA-CK-4952-01A	0.4572	0.8867	0.358	0.5838	0.776	0.5152	0.4752	0.686	0.8406	0.8967	0.7717	0.6289	0.4359	0.7699	0.4809	0.441	0.1464	0.413	0.2518	0.7024	0.6391	0.5317	0.8663	0.5079	0.9455	0.4466	0.906	0.7291	0.317	0.4465	0.6209	0.7172	0.8713	0.7911	0.9054	0.911	0.643	0.6074	0.8185	0.6386	0.7908	0.8102
TCGA-CM-5348-01A	0.6544	0.7161	0.559	0.3005	0.027	0.05365	0.03876	0.02637	0.02387	0.2445	0.2967	0.5655	0.7538	0.786	0.01346	0.07428	0.0218	0.02813	0.04386	0.07681	0.02935	0.1233	0.7753	0.6193	0.6872	0.6942	0.808	0.5306	0.7489	0.7988	0.5301	0.5703	0.657	0.6214	0.81	0.06452	0.02036	0.01888	0.08689	0.1171	0.2905	0.3745
TCGA-A6-2678-01A																																										
TCGA-NH-A50T-01A	0.5516	0.8747	0.2586	0.3617	0.3	0.3685	0.2337	0.3004	0.4939	0.1438	0.119	0.3207	0.511	0.739	0.3922	0.4586	0.2003	0.4063	0.1084	0.4767	0.2543	0.4347	0.5032	0.1539	0.9275	0.1552	0.5785	0.3444	0.6204	0.3083	0.3375	0.447	0.514	0.383	0.9112	0.9585	0.4832	0.3097	0.3522	0.5854	0.5208	0.9138
TCGA-A6-5665-01B	0.6999	0.8205	0.6211	0.4841	0.4483	0.4469	0.371	0.3548	0.5712	0.5525	0.4487	0.443	0.4687	0.5984	0.4467	0.4638	0.209	0.3987	0.157	0.4788	0.4756	0.3989	0.7766	0.4879	0.6802	0.5638	0.8241	0.4467	0.7802	0.7831	0.6075	0.608	0.8011	0.6892	0.8886	0.925	0.6254	0.6182	0.7856	0.4532	0.8744	0.8935
TCGA-G4-6293-01A	0.4602	0.8183	0.4621	0.4926	0.443	0.3617	0.3332	0.2992	0.5688	0.5872	0.3952	0.5875	0.5128	0.672	0.4728	0.5515	0.1683	0.4905	0.3714	0.5794	0.5323	0.4215	0.7265	0.2463	0.7912	0.3983	0.8061	0.6712	0.7693	0.7464	0.5597	0.5809	0.4833	0.5605	0.8577	0.8054	0.4447	0.3115	0.4338	0.3505	0.5931	0.8079
TCGA-AA-3872-01A																																										
TCGA-AA-3556-01A																																										
TCGA-G4-6309-01A	0.2381	0.6057	0.3074	0.4594	0.3998	0.4053	0.3467	0.3306	0.5869	0.4678	0.4723	0.4491	0.2366	0.7624	0.5241	0.5321	0.293	0.4834	0.1281	0.4951	0.4685	0.4558	0.2665	0.4136	0.828	0.463	0.7205	0.4735	0.7196	0.2412	0.3691	0.5523	0.5481	0.5283	0.9288	0.7111	0.4808	0.4325	0.4382	0.2152	0.4444	0.8194
TCGA-AA-3831-01A																																										
TCGA-AA-3542-01A																																										
TCGA-F4-6703-01A	0.5312	0.5279	0.1836	0.1646	0.06749	0.1208	0.03646	0.0329	0.06436	0.06455	0.1203	0.2387	0.4883	0.6276	0.01873	0.08172	0.02498	0.03052	0.05816	0.3013	0.1162	0.1542	0.5287	0.08068	0.05702	0.08414	0.344	0.328	0.593	0.4101	0.09945	0.2754	0.05401	0.09386	0.5747	0.06943	0.03606	0.02509	0.197	0.1638	0.4321	0.8401
TCGA-AA-3877-01A																																										
TCGA-AA-3684-01A																																										
TCGA-A6-6780-01B	0.7679	0.8429	0.2542	0.09168	0.0775	0.0287	0.0434	0.05028	0.04087	0.668	0.616	0.5291	0.4787	0.7402	0.07673	0.09021	0.04516	0.04254	0.193	0.5325	0.5503	0.6013	0.749	0.09922	0.3974	0.7505	0.7356	0.6811	0.4975	0.7678	0.07823	0.4219	0.1654	0.0907	0.8759	0.4746	0.0682	0.03957	0.4555	0.1222	0.4639	0.7707
TCGA-D5-6920-01A	0.5858	0.7468	0.5508	0.6549	0.5809	0.3869	0.2911	0.333	0.5458	0.5844	0.5391	0.4674	0.4884	0.5921	0.4937	0.5026	0.1898	0.4358	0.127	0.504	0.4569	0.5161	0.601	0.5091	0.6926	0.3532	0.6737	0.57	0.7134	0.674	0.3738	0.5491	0.5521	0.4566	0.8342	0.7069	0.5483	0.4241	0.5424	0.3237	0.6592	0.7335
TCGA-D5-7000-01A	0.5894	0.8237	0.5533	0.8088	0.6879	0.5878	0.3485	0.6218	0.7715	0.8241	0.7397	0.5579	0.4729	0.6995	0.4617	0.4638	0.1762	0.3893	0.1795	0.6509	0.584	0.6308	0.7152	0.6365	0.8849	0.5508	0.8835	0.715	0.4987	0.8939	0.583	0.5754	0.4439	0.4347	0.881	0.5723	0.4562	0.37	0.4157	0.407	0.5223	0.6948
TCGA-AZ-6600-01A	0.7156	0.8504	0.5017	0.2798	0.07642	0.02403	0.02937	0.02288	0.01921	0.4403	0.4594	0.5017	0.7724	0.7742	0.01788	0.04195	0.02126	0.02838	0.0547	0.2643	0.1047	0.3876	0.5154	0.1141	0.1661	0.1018	0.2096	0.7084	0.6405	0.3651	0.205	0.2706	0.07398	0.06257	0.6513	0.1103	0.03051	0.185	0.1553	0.1034	0.2082	0.5401
TCGA-AA-3950-01A																																										
TCGA-F4-6805-01A	0.5036	0.7456	0.5823	0.4368	0.4093	0.3651	0.2622	0.3358	0.6027	0.482	0.4475	0.3632	0.5961	0.5834	0.5285	0.5496	0.2497	0.4505	0.1854	0.4769	0.4694	0.4439	0.6015	0.3437	0.5776	0.4317	0.621	0.3992	0.5975	0.5331	0.3822	0.523	0.5485	0.5183	0.6587	0.7651	0.4812	0.4182	0.4185	0.3174	0.8116	0.7989
TCGA-NH-A8F8-01A	0.7008	0.7545	0.5883	0.6088	0.656	0.06102	0.0305	0.04036	0.3101	0.5428	0.6065	0.5705	0.6953	0.5349	0.01337	0.04937	0.02379	0.02807	0.04154	0.1709	0.1633	0.5555	0.79	0.2028	0.8211	0.06853	0.4639	0.6936	0.5738	0.6435	0.1425	0.2484	0.04773	0.05408	0.7767	0.7372	0.5302	0.0199	0.0455	0.09054	0.3462	0.7795
TCGA-CK-4947-01B	0.5755	0.7778	0.5572	0.6635	0.6057	0.3747	0.3288	0.3515	0.6111	0.6423	0.5506	0.4866	0.5838	0.613	0.491	0.5401	0.3189	0.4163	0.2924	0.518	0.4896	0.6078	0.661	0.3344	0.8263	0.2532	0.686	0.6262	0.7122	0.4833	0.4156	0.5547	0.5876	0.5349	0.82	0.8265	0.4741	0.3868	0.392	0.3751	0.3177	0.5291
TCGA-G4-6306-01A	0.8298	0.8824	0.6689	0.3238	0.05366	0.05464	0.04519	0.01715	0.02248	0.03108	0.04684	0.1823	0.8451	0.862	0.01615	0.08702	0.01884	0.04145	0.03905	0.06138	0.06753	0.109	0.8009	0.4016	0.922	0.06932	0.08892	0.847	0.7125	0.4625	0.06552	0.2577	0.04206	0.05747	0.896	0.8672	0.02211	0.01192	0.05628	0.1168	0.3977	0.8055
TCGA-AA-3715-01A																																										
TCGA-A6-2680-01A	0.5579	0.8164	0.4293	0.7083	0.4049	0.3253	0.2707	0.2792	0.5474	0.4633	0.3715	0.5538	0.3199	0.6977	0.4409	0.468	0.2037	0.3864	0.09514	0.4459	0.4379	0.4174	0.5205	0.1698	0.9228	0.3539	0.55	0.7918	0.7857	0.3795	0.2315	0.5117	0.4845	0.4208	0.5954	0.7617	0.456	0.3254	0.3138	0.1672	0.2381	0.6344
TCGA-AA-3956-01A																																										
TCGA-D5-6927-01A	0.6251	0.6709	0.3618	0.1558	0.169	0.0728	0.03357	0.0705	0.5293	0.1778	0.264	0.4108	0.3724	0.4213	0.02178	0.09056	0.03019	0.03357	0.04669	0.05372	0.03459	0.1609	0.1811	0.1276	0.05576	0.08546	0.2359	0.09804	0.3135	0.6758	0.08922	0.3632	0.1288	0.08534	0.2243	0.179	0.1835	0.06308	0.2368	0.2008	0.319	0.7947
TCGA-AA-3552-01A																																										
